V1,V2,O,P1,P2,ID,V1_mean,V1_percentile,V1_V1_mean
0.0000034131822951408,532_419_422,532,419,422,532,,0.0181818181818182,
0.0000900145995589285,1062_1008_1024,1062,1008,1024,1062,,0.0818181818181818,
0.036409687821054,1387_1334_669,1387,1334,669,1387,0.0548379090418985,0.309090909090909,0.663951059717384
0.0534066057024281,1387_1334_1757,1387,1334,1757,1387,0.0548379090418985,0.663636363636364,0.973899381568745
0.0588918613758659,1387_1334_1852,1387,1334,1852,1387,0.0548379090418985,0.727272727272727,1.07392609245677
0.0000778158662991181,1387_1334_1280,1387,1334,1280,1387,0.0548379090418985,0.0636363636363636,0.00141901592636699
0.0463268876705083,1387_1334_1754,1387,1334,1754,1387,0.0548379090418985,0.545454545454545,0.844796756111043
0.0666266567659116,1387_669_1757,1387,669,1757,1387,0.0548379090418985,0.827272727272727,1.21497442061487
0.0719440742963513,1387_669_1852,1387,669,1852,1387,0.0548379090418985,0.881818181818182,1.31194050891661
0.0349510217782706,1387_669_1280,1387,669,1280,1387,0.0548379090418985,0.3,0.637351467058426
0.0569922387573874,1387_669_1754,1387,669,1754,1387,0.0548379090418985,0.709090909090909,1.0392854095484
0.0983104293604858,1387_1757_1852,1387,1757,1852,1387,0.0548379090418985,1,1.79274576799368
0.0496307560854042,1387_1757_1280,1387,1757,1280,1387,0.0548379090418985,0.627272727272727,0.905044647991304
0.0750572175487493,1387_1757_1754,1387,1757,1754,1387,0.0548379090418985,0.927272727272727,1.36871042058519
0.0533943992920282,1387_1852_1280,1387,1852,1280,1387,0.0548379090418985,0.654545454545455,0.973676790835198
0.0877035673234394,1387_1852_1754,1387,1852,1754,1387,0.0548379090418985,0.981818181818182,1.59932369515457
0.0328454159842944,1387_1280_1754,1387,1280,1754,1387,0.0548379090418985,0.254545454545455,0.598954565521437
0.0000807195289893181,309_252_281,309,252,281,309,,0.0727272727272727,
0.00000292914972641742,246_221_181,246,221,181,246,,0.00909090909090909,
0.0696587178668489,784_669_1757,784,669,1757,784,0.0478411054398207,0.872727272727273,1.45604323366801
0.00000695186873680076,784_669_738,784,669,738,784,0.0478411054398207,0.0363636363636364,0.000145311624237979
0.0738576465838765,784_1757_738,784,1757,738,784,0.0478411054398207,0.909090909090909,1.54381145470775
0.0347911188914811,610_669_552,610,669,552,610,,0.290909090909091,
0.0191291306375075,1848_1757_1852,1848,1757,1852,1848,0.0124764097055955,0.163636363636364,1.5332239874207
0.0000740750888013179,1848_1757_1754,1848,1757,1754,1848,0.0124764097055955,0.0545454545454545,0.00593721195033346
0.0182260233904777,1848_1852_1754,1848,1852,1754,1848,0.0124764097055955,0.145454545454545,1.46083880062897
0.000104740361919748,324_214_273,324,214,273,324,,0.0909090909090909,
